bias,cand_sampler,n_voters,n_candidates,time_steps,trial,sparse,grouped,credibility,knowledge,ego,similarity,meta,substantative,ks_distance_true,cs_distance_true,entrywise_distance
2.93186484927,Voter,15,6,13.,1,false,false,false,true,false,false,true,false,102.,86.,19.9172280025
2.93186484927,Voter,15,6,14.,1,false,false,false,true,false,false,true,false,102.,86.,20.0399867719
2.93186484927,Voter,15,6,15.,1,false,false,false,true,false,false,true,false,102.,86.,20.1294280974
2.93186484927,Voter,15,6,16.,1,false,false,false,true,false,false,true,false,102.,86.,20.1946043222
2.93186484927,Voter,15,6,17.,1,false,false,false,true,false,false,true,false,102.,86.,20.2421056502
2.93186484927,Voter,15,6,18.,1,false,false,false,true,false,false,true,false,102.,86.,20.2767305216
2.93186484927,Voter,15,6,19.,1,false,false,false,true,false,false,true,false,102.,86.,20.3019732753
2.93186484927,Voter,15,6,20.,1,false,false,false,true,false,false,true,false,102.,86.,20.3203789485
0.475262907696,Voter,9,6,0.,1,false,false,false,true,true,false,true,true,32.,30.,7.6834362789
0.475262907696,Voter,9,6,1.,1,false,false,false,true,true,false,true,true,32.,32.,0.
0.475262907696,Voter,9,6,2.,1,false,false,false,true,true,false,true,true,42.,40.,3.84391966606
0.475262907696,Voter,9,6,3.,1,false,false,false,true,true,false,true,true,58.,54.,5.84563298346
0.475262907696,Voter,9,6,4.,1,false,false,false,true,true,false,true,true,66.,58.,6.92203959564
0.475262907696,Voter,9,6,5.,1,false,false,false,true,true,false,true,true,70.,58.,7.51588519412
0.475262907696,Voter,9,6,6.,1,false,false,false,true,true,false,true,true,76.,60.,7.85032924774
0.475262907696,Voter,9,6,7.,1,false,false,false,true,true,false,true,true,78.,62.,8.04188309823
0.475262907696,Voter,9,6,8.,1,false,false,false,true,true,false,true,true,78.,62.,8.15314126799
0.475262907696,Voter,9,6,9.,1,false,false,false,true,true,false,true,true,78.,64.,8.21852592492
0.475262907696,Voter,9,6,10.,1,false,false,false,true,true,false,true,true,78.,64.,8.25733578524
0.475262907696,Voter,9,6,11.,1,false,false,false,true,true,false,true,true,78.,64.,8.28056778289
0.475262907696,Voter,9,6,12.,1,false,false,false,true,true,false,true,true,78.,64.,8.29457553953
0.475262907696,Voter,9,6,13.,1,false,false,false,true,true,false,true,true,78.,64.,8.30307379935
0.475262907696,Voter,9,6,14.,1,false,false,false,true,true,false,true,true,78.,64.,8.30825679971
0.475262907696,Voter,9,6,15.,1,false,false,false,true,true,false,true,true,78.,64.,8.31143214622
0.475262907696,Voter,9,6,16.,1,false,false,false,true,true,false,true,true,78.,64.,8.31338504015
0.475262907696,Voter,9,6,17.,1,false,false,false,true,true,false,true,true,78.,64.,8.31459009255
0.475262907696,Voter,9,6,18.,1,false,false,false,true,true,false,true,true,78.,64.,8.31533580585
0.475262907696,Voter,9,6,19.,1,false,false,false,true,true,false,true,true,78.,64.,8.31579840707
0.475262907696,Voter,9,6,20.,1,false,false,false,true,true,false,true,true,78.,64.,8.31608599276
0.250646739366,Sample,19,6,0.,1,false,false,false,true,true,false,false,true,138.,120.,18.0186479222
0.250646739366,Sample,19,6,1.,1,false,false,false,true,true,false,false,true,126.,112.,0.
0.250646739366,Sample,19,6,2.,1,false,false,false,true,true,false,false,true,146.,116.,8.3794511076
0.250646739366,Sample,19,6,3.,1,false,false,false,true,true,false,false,true,164.,128.,12.666280094
0.250646739366,Sample,19,6,4.,1,false,false,false,true,true,false,false,true,180.,142.,14.9830234468
0.250646739366,Sample,19,6,5.,1,false,false,false,true,true,false,false,true,188.,146.,16.2696245848
0.250646739366,Sample,19,6,6.,1,false,false,false,true,true,false,false,true,186.,144.,16.9989437749
0.250646739366,Sample,19,6,7.,1,false,false,false,true,true,false,false,true,190.,148.,17.4186755439
0.250646739366,Sample,19,6,8.,1,false,false,false,true,true,false,false,true,190.,148.,17.6630850477
0.250646739366,Sample,19,6,9.,1,false,false,false,true,true,false,false,true,190.,148.,17.8067369844
0.250646739366,Sample,19,6,10.,1,false,false,false,true,true,false,false,true,190.,148.,17.8918072022
0.250646739366,Sample,19,6,11.,1,false,false,false,true,true,false,false,true,190.,148.,17.9424976847
0.250646739366,Sample,19,6,12.,1,false,false,false,true,true,false,false,true,190.,148.,17.9728577365
0.250646739366,Sample,19,6,13.,1,false,false,false,true,true,false,false,true,190.,148.,17.9911198199
0.250646739366,Sample,19,6,14.,1,false,false,false,true,true,false,false,true,190.,148.,18.0021451044
0.250646739366,Sample,19,6,15.,1,false,false,false,true,true,false,false,true,190.,148.,18.0088223581
0.250646739366,Sample,19,6,16.,1,false,false,false,true,true,false,false,true,190.,148.,18.012877394
0.250646739366,Sample,19,6,17.,1,false,false,false,true,true,false,false,true,190.,148.,18.0153458961
0.250646739366,Sample,19,6,18.,1,false,false,false,true,true,false,false,true,190.,148.,18.0168517854
0.250646739366,Sample,19,6,19.,1,false,false,false,true,true,false,false,true,190.,148.,18.0177721754
0.250646739366,Sample,19,6,20.,1,false,false,false,true,true,false,false,true,190.,148.,18.0183356632
2.78691241381,Sample,17,3,0.,1,false,false,false,true,false,false,false,true,10.,10.,23.2163461285
2.78691241381,Sample,17,3,1.,1,false,false,false,true,false,false,false,true,22.,22.,0.
2.78691241381,Sample,17,3,2.,1,false,false,false,true,false,false,false,true,44.,40.,6.35864801086
2.78691241381,Sample,17,3,3.,1,false,false,false,true,false,false,false,true,48.,44.,8.11021825529
2.78691241381,Sample,17,3,4.,1,false,false,false,true,false,false,false,true,54.,46.,8.59553164388
2.78691241381,Sample,17,3,5.,1,false,false,false,true,false,false,false,true,54.,46.,8.73079214522
2.78691241381,Sample,17,3,6.,1,false,false,false,true,false,false,false,true,54.,46.,8.76871292709
2.78691241381,Sample,17,3,7.,1,false,false,false,true,false,false,false,true,54.,46.,8.77940658687
2.78691241381,Sample,17,3,8.,1,false,false,false,true,false,false,false,true,54.,46.,8.78243968103
2.78691241381,Sample,17,3,9.,1,false,false,false,true,false,false,false,true,54.,46.,8.78330486275
2.78691241381,Sample,17,3,10.,1,false,false,false,true,false,false,false,true,54.,46.,8.78355302045
2.78691241381,Sample,17,3,11.,1,false,false,false,true,false,false,false,true,54.,46.,8.78362458072
2.78691241381,Sample,17,3,12.,1,false,false,false,true,false,false,false,true,54.,46.,8.78364532293
2.78691241381,Sample,17,3,13.,1,false,false,false,true,false,false,false,true,54.,46.,8.78365136499
2.78691241381,Sample,17,3,14.,1,false,false,false,true,false,false,false,true,54.,46.,8.78365313331
2.78691241381,Sample,17,3,15.,1,false,false,false,true,false,false,false,true,54.,46.,8.78365365318
2.78691241381,Sample,17,3,16.,1,false,false,false,true,false,false,false,true,54.,46.,8.78365380666
2.78691241381,Sample,17,3,17.,1,false,false,false,true,false,false,false,true,54.,46.,8.78365385216
2.78691241381,Sample,17,3,18.,1,false,false,false,true,false,false,false,true,54.,46.,8.78365386569
2.78691241381,Sample,17,3,19.,1,false,false,false,true,false,false,false,true,54.,46.,8.78365386974
2.78691241381,Sample,17,3,20.,1,false,false,false,true,false,false,false,true,54.,46.,8.78365387095
1.40718995519,Sample,21,7,0.,1,false,false,false,true,true,false,false,false,162.,138.,12.6027210229
1.40718995519,Sample,21,7,1.,1,false,false,false,true,true,false,false,false,162.,138.,0.
1.40718995519,Sample,21,7,2.,1,false,false,false,true,true,false,false,false,162.,138.,8.550910408
1.40718995519,Sample,21,7,3.,1,false,false,false,true,true,false,false,false,162.,138.,14.3811179828
