bias,cand_sampler,n_voters,n_candidates,time_steps,trial,ks_distance_start,cs_distance_start,ks_distance_true,cs_distance_true,entrywise_distance
1.3,Sample,14,3,71.,3,8.,8.,4.,4.,13.8260869565
1.3,Sample,14,3,76.,3,8.,8.,4.,4.,13.8260869565
1.3,Sample,14,3,81.,3,8.,8.,4.,4.,13.8260869565
1.3,Sample,14,3,86.,3,8.,8.,4.,4.,13.8260869565
1.3,Sample,14,3,91.,3,8.,8.,4.,4.,13.8260869565
1.3,Sample,14,3,96.,3,8.,8.,4.,4.,13.8260869565
1.3,Sample,14,3,101.,3,8.,8.,4.,4.,13.8260869565
1.3,Sample,14,3,106.,3,8.,8.,4.,4.,13.8260869565
1.3,Sample,14,3,111.,3,8.,8.,4.,4.,13.8260869565
1.3,Sample,14,3,116.,3,8.,8.,4.,4.,13.8260869565
1.3,Sample,14,3,121.,3,8.,8.,4.,4.,13.8260869565
1.3,Sample,14,3,126.,3,8.,8.,4.,4.,13.8260869565
1.3,Sample,14,3,131.,3,8.,8.,4.,4.,13.8260869565
1.3,Sample,14,3,136.,3,8.,8.,4.,4.,13.8260869565
1.3,Sample,14,3,141.,3,8.,8.,4.,4.,13.8260869565
1.3,Sample,14,3,146.,3,8.,8.,4.,4.,13.8260869565
1.3,Sample,14,3,151.,3,8.,8.,4.,4.,13.8260869565
1.3,Sample,14,3,1.,4,14.,14.,22.,16.,0.
1.3,Sample,14,3,6.,4,18.,18.,10.,10.,13.2293001502
1.3,Sample,14,3,11.,4,18.,18.,10.,10.,13.7997556677
1.3,Sample,14,3,16.,4,18.,18.,10.,10.,13.8249037693
1.3,Sample,14,3,21.,4,18.,18.,10.,10.,13.8260329829
1.3,Sample,14,3,26.,4,18.,18.,10.,10.,13.8260844636
1.3,Sample,14,3,31.,4,18.,18.,10.,10.,13.8260868402
1.3,Sample,14,3,36.,4,18.,18.,10.,10.,13.826086951
1.3,Sample,14,3,41.,4,18.,18.,10.,10.,13.8260869563
1.3,Sample,14,3,46.,4,18.,18.,10.,10.,13.8260869565
1.3,Sample,14,3,51.,4,18.,18.,10.,10.,13.8260869565
1.3,Sample,14,3,56.,4,18.,18.,10.,10.,13.8260869565
1.3,Sample,14,3,61.,4,18.,18.,10.,10.,13.8260869565
1.3,Sample,14,3,66.,4,18.,18.,10.,10.,13.8260869565
1.3,Sample,14,3,71.,4,18.,18.,10.,10.,13.8260869565
1.3,Sample,14,3,76.,4,18.,18.,10.,10.,13.8260869565
1.3,Sample,14,3,81.,4,18.,18.,10.,10.,13.8260869565
1.3,Sample,14,3,86.,4,18.,18.,10.,10.,13.8260869565
1.3,Sample,14,3,91.,4,18.,18.,10.,10.,13.8260869565
1.3,Sample,14,3,96.,4,18.,18.,10.,10.,13.8260869565
1.3,Sample,14,3,101.,4,18.,18.,10.,10.,13.8260869565
1.3,Sample,14,3,106.,4,18.,18.,10.,10.,13.8260869565
1.3,Sample,14,3,111.,4,18.,18.,10.,10.,13.8260869565
1.3,Sample,14,3,116.,4,18.,18.,10.,10.,13.8260869565
1.3,Sample,14,3,121.,4,18.,18.,10.,10.,13.8260869565
1.3,Sample,14,3,126.,4,18.,18.,10.,10.,13.8260869565
1.3,Sample,14,3,131.,4,18.,18.,10.,10.,13.8260869565
1.3,Sample,14,3,136.,4,18.,18.,10.,10.,13.8260869565
1.3,Sample,14,3,141.,4,18.,18.,10.,10.,13.8260869565
1.3,Sample,14,3,146.,4,18.,18.,10.,10.,13.8260869565
1.3,Sample,14,3,151.,4,18.,18.,10.,10.,13.8260869565
1.3,Sample,14,3,1.,5,2.,2.,14.,12.,0.
1.3,Sample,14,3,6.,5,12.,12.,0.,0.,13.2293001502
1.3,Sample,14,3,11.,5,12.,12.,0.,0.,13.7997556677
1.3,Sample,14,3,16.,5,12.,12.,0.,0.,13.8249037693
1.3,Sample,14,3,21.,5,12.,12.,0.,0.,13.8260329829
1.3,Sample,14,3,26.,5,12.,12.,0.,0.,13.8260844636
1.3,Sample,14,3,31.,5,12.,12.,0.,0.,13.8260868402
1.3,Sample,14,3,36.,5,12.,12.,0.,0.,13.826086951
1.3,Sample,14,3,41.,5,12.,12.,0.,0.,13.8260869563
1.3,Sample,14,3,46.,5,12.,12.,0.,0.,13.8260869565
1.3,Sample,14,3,51.,5,12.,12.,0.,0.,13.8260869565
1.3,Sample,14,3,56.,5,12.,12.,0.,0.,13.8260869565
1.3,Sample,14,3,61.,5,12.,12.,0.,0.,13.8260869565
1.3,Sample,14,3,66.,5,12.,12.,0.,0.,13.8260869565
1.3,Sample,14,3,71.,5,12.,12.,0.,0.,13.8260869565
1.3,Sample,14,3,76.,5,12.,12.,0.,0.,13.8260869565
1.3,Sample,14,3,81.,5,12.,12.,0.,0.,13.8260869565
1.3,Sample,14,3,86.,5,12.,12.,0.,0.,13.8260869565
1.3,Sample,14,3,91.,5,12.,12.,0.,0.,13.8260869565
1.3,Sample,14,3,96.,5,12.,12.,0.,0.,13.8260869565
1.3,Sample,14,3,101.,5,12.,12.,0.,0.,13.8260869565
1.3,Sample,14,3,106.,5,12.,12.,0.,0.,13.8260869565
