bias,cand_sampler,n_voters,n_candidates,time_steps,trial,sparse,grouped,credibility,knowledge,ego,selfknowledge,similarity,meta,substantative,cyclic_start,condorcet_start,unique_start,proximity_to_voter_sp_start,proximity_to_cand_sp_start,cyclic_end,condorcet_end,unique_end,proximity_to_voter_sp_end,proximity_to_cand_sp_end,cyclic_true,condorcet_true,unique_true,proximity_to_voter_sp_true,proximity_to_cand_sp_true
3.,Sample,8,4,4.,1,false,true,false,false,false,false,true,true,true,true,false,6,6,3,false,false,7,6,3,false,false,7,5,3
3.,Sample,8,4,5.,1,false,true,false,false,false,false,true,true,true,true,false,6,6,3,false,true,6,6,3,false,false,7,5,3
3.,Sample,8,4,6.,1,false,true,false,false,false,false,true,true,true,true,false,6,6,3,false,true,6,6,3,false,false,7,5,3
3.,Sample,8,4,7.,1,false,true,false,false,false,false,true,true,true,true,false,6,6,3,false,false,6,6,2,false,false,7,5,3
3.,Sample,8,4,8.,1,false,true,false,false,false,false,true,true,true,true,false,6,6,3,false,false,7,6,2,false,false,7,5,3
3.,Sample,8,4,9.,1,false,true,false,false,false,false,true,true,true,true,false,6,6,3,false,false,7,6,2,false,false,7,5,3
3.,Sample,8,4,10.,1,false,true,false,false,false,false,true,true,true,true,false,6,6,3,false,false,7,6,2,false,false,7,5,3
3.,Sample,8,4,11.,1,false,true,false,false,false,false,true,true,true,true,false,6,6,3,false,false,7,6,2,false,false,7,5,3
3.,Sample,8,4,12.,1,false,true,false,false,false,false,true,true,true,true,false,6,6,3,false,false,8,5,2,false,false,7,5,3
3.,Sample,8,4,13.,1,false,true,false,false,false,false,true,true,true,true,false,6,6,3,false,false,8,5,2,false,false,7,5,3
3.,Sample,8,4,14.,1,false,true,false,false,false,false,true,true,true,true,false,6,6,3,false,false,8,5,2,false,false,7,5,3
3.,Sample,8,4,15.,1,false,true,false,false,false,false,true,true,true,true,false,6,6,3,false,false,8,5,2,false,false,7,5,3
3.,Sample,8,4,16.,1,false,true,false,false,false,false,true,true,true,true,false,6,6,3,false,false,8,5,2,false,false,7,5,3
3.,Sample,8,4,17.,1,false,true,false,false,false,false,true,true,true,true,false,6,6,3,false,false,8,5,2,false,false,7,5,3
3.,Sample,8,4,18.,1,false,true,false,false,false,false,true,true,true,true,false,6,6,3,false,false,8,5,2,false,false,7,5,3
3.,Sample,8,4,19.,1,false,true,false,false,false,false,true,true,true,true,false,6,6,3,false,false,8,5,2,false,false,7,5,3
3.,Sample,8,4,20.,1,false,true,false,false,false,false,true,true,true,true,false,6,6,3,false,false,8,5,2,false,false,7,5,3
3.,Voter,6,5,0.,1,false,true,false,false,false,false,true,true,true,false,true,6,3,2,false,true,6,3,2,false,true,6,3,3
3.,Voter,6,5,1.,1,false,true,false,false,false,false,true,true,true,false,true,6,3,2,false,false,6,3,2,false,true,6,3,3
3.,Voter,6,5,2.,1,false,true,false,false,false,false,true,true,true,false,true,6,3,2,false,false,6,3,2,false,true,6,3,3
3.,Voter,6,5,3.,1,false,true,false,false,false,false,true,true,true,false,true,6,3,2,false,true,5,3,2,false,true,6,3,3
3.,Voter,6,5,4.,1,false,true,false,false,false,false,true,true,true,false,true,6,3,2,false,true,5,4,3,false,true,6,3,3
3.,Voter,6,5,5.,1,false,true,false,false,false,false,true,true,true,false,true,6,3,2,false,true,5,3,3,false,true,6,3,3
3.,Voter,6,5,6.,1,false,true,false,false,false,false,true,true,true,false,true,6,3,2,false,true,5,3,3,false,true,6,3,3
3.,Voter,6,5,7.,1,false,true,false,false,false,false,true,true,true,false,true,6,3,2,false,true,5,4,3,false,true,6,3,3
3.,Voter,6,5,8.,1,false,true,false,false,false,false,true,true,true,false,true,6,3,2,false,true,6,3,3,false,true,6,3,3
3.,Voter,6,5,9.,1,false,true,false,false,false,false,true,true,true,false,true,6,3,2,false,true,6,3,3,false,true,6,3,3
3.,Voter,6,5,10.,1,false,true,false,false,false,false,true,true,true,false,true,6,3,2,false,true,6,3,3,false,true,6,3,3
3.,Voter,6,5,11.,1,false,true,false,false,false,false,true,true,true,false,true,6,3,2,false,true,6,4,3,false,true,6,3,3
3.,Voter,6,5,12.,1,false,true,false,false,false,false,true,true,true,false,true,6,3,2,false,true,6,4,3,false,true,6,3,3
3.,Voter,6,5,13.,1,false,true,false,false,false,false,true,true,true,false,true,6,3,2,false,true,6,3,3,false,true,6,3,3
3.,Voter,6,5,14.,1,false,true,false,false,false,false,true,true,true,false,true,6,3,2,false,true,6,3,3,false,true,6,3,3
3.,Voter,6,5,15.,1,false,true,false,false,false,false,true,true,true,false,true,6,3,2,false,true,6,3,3,false,true,6,3,3
3.,Voter,6,5,16.,1,false,true,false,false,false,false,true,true,true,false,true,6,3,2,false,true,6,3,3,false,true,6,3,3
3.,Voter,6,5,17.,1,false,true,false,false,false,false,true,true,true,false,true,6,3,2,false,true,6,3,3,false,true,6,3,3
3.,Voter,6,5,18.,1,false,true,false,false,false,false,true,true,true,false,true,6,3,2,false,true,6,3,3,false,true,6,3,3
3.,Voter,6,5,19.,1,false,true,false,false,false,false,true,true,true,false,true,6,3,2,false,true,6,3,3,false,true,6,3,3
3.,Voter,6,5,20.,1,false,true,false,false,false,false,true,true,true,false,true,6,3,2,false,true,6,3,3,false,true,6,3,3
3.,Sample,4,5,0.,1,false,true,false,false,false,false,true,true,true,false,false,4,3,4,false,false,4,3,4,false,false,4,2,3
3.,Sample,4,5,1.,1,false,true,false,false,false,false,true,true,true,false,false,4,3,4,false,false,4,2,4,false,false,4,2,3
3.,Sample,4,5,2.,1,false,true,false,false,false,false,true,true,true,false,false,4,3,4,false,false,4,2,4,false,false,4,2,3
3.,Sample,4,5,3.,1,false,true,false,false,false,false,true,true,true,false,false,4,3,4,false,true,4,3,4,false,false,4,2,3
3.,Sample,4,5,4.,1,false,true,false,false,false,false,true,true,true,false,false,4,3,4,false,true,3,3,4,false,false,4,2,3
3.,Sample,4,5,5.,1,false,true,false,false,false,false,true,true,true,false,false,4,3,4,false,true,3,3,4,false,false,4,2,3
3.,Sample,4,5,6.,1,false,true,false,false,false,false,true,true,true,false,false,4,3,4,false,true,3,3,4,false,false,4,2,3
3.,Sample,4,5,7.,1,false,true,false,false,false,false,true,true,true,false,false,4,3,4,false,true,3,3,4,false,false,4,2,3
3.,Sample,4,5,8.,1,false,true,false,false,false,false,true,true,true,false,false,4,3,4,false,true,3,3,4,false,false,4,2,3
3.,Sample,4,5,9.,1,false,true,false,false,false,false,true,true,true,false,false,4,3,4,false,true,3,3,4,false,false,4,2,3
3.,Sample,4,5,10.,1,false,true,false,false,false,false,true,true,true,false,false,4,3,4,false,true,3,3,4,false,false,4,2,3
3.,Sample,4,5,11.,1,false,true,false,false,false,false,true,true,true,false,false,4,3,4,false,true,3,3,4,false,false,4,2,3
3.,Sample,4,5,12.,1,false,true,false,false,false,false,true,true,true,false,false,4,3,4,false,true,3,3,4,false,false,4,2,3
3.,Sample,4,5,13.,1,false,true,false,false,false,false,true,true,true,false,false,4,3,4,false,true,2,3,4,false,false,4,2,3
3.,Sample,4,5,14.,1,false,true,false,false,false,false,true,true,true,false,false,4,3,4,false,true,2,3,4,false,false,4,2,3
3.,Sample,4,5,15.,1,false,true,false,false,false,false,true,true,true,false,false,4,3,4,false,true,2,3,4,false,false,4,2,3
3.,Sample,4,5,16.,1,false,true,false,false,false,false,true,true,true,false,false,4,3,4,false,true,2,3,4,false,false,4,2,3
3.,Sample,4,5,17.,1,false,true,false,false,false,false,true,true,true,false,false,4,3,4,false,true,2,3,4,false,false,4,2,3
3.,Sample,4,5,18.,1,false,true,false,false,false,false,true,true,true,false,false,4,3,4,false,true,2,3,4,false,false,4,2,3
3.,Sample,4,5,19.,1,false,true,false,false,false,false,true,true,true,false,false,4,3,4,false,true,2,3,4,false,false,4,2,3
3.,Sample,4,5,20.,1,false,true,false,false,false,false,true,true,true,false,false,4,3,4,false,true,2,3,4,false,false,4,2,3
