HHID,DistrictID,VillageID,weight,z,zdelib,zinfo,zelite,zoinfo,zspill,tinfo,H100,H200,H300,H400,H500,H600,H101,H201,H301,H401,H501,H601,X1010,X1020,X1030,X1040,X1050,X1060,X1070,X1080,X1090,X1100,X1110,X1120,X1130,X1140,X2010,X2020,X2030,X2040,X2050,X2060,X2070,X2080,X2090,X2100,X2110,X2120,X2130,X2140,X2150,X2160,X2170,X2180,X2190,X2200,X2210,X2220,X2230,X3010,X3020,X3030,X3040,X3050,X3060,X3070,X3080,X3090,X3100,X3110,X3120,X3130,X3140,X3150,X3160,X3170,X3180,X3190,X3200,X3210,X3220,X3230,X3240,X3250,X3260,X3270,X3280,X3290,X1,X2,X3,Xcitizen0,Xempsector0,X1011,X1021,X1031,X1041,X1051,X1061,X1071,X1081,X1091,X1101,X1111,X1121,X1131,X1141,X2011,X2021,X2031,X2041,X2051,X2061,X2071,X2081,X2091,X2101,X2111,X2121,X2131,X2141,X2151,X2161,X2171,X2181,X2191,X2201,X2211,X2221,X2231,X3011,X3021,X3031,X3041,X3051,X3061,X3071,X3081,X3091,X3101,X3111,X3121,X3131,X3141,X3151,X3161,X3171,X3181,X3191,X3201,X3211,X3221,X3231,X3241,X3251,X3261,X3271,X3281,X3291,Xcitizen1,Xempsector1,H610,H510,H520,H130,H140,H310,H320,H240,H330,H340,H350,H430,H440,H460,H260,H620,H630,H640,H650,H660,H670,H680,H690,consumption,H450,H370,H380,H110,H120,H210,H250,H360,H150,H220,H230,H410,H420,H530,H611,H511,H521,H131,H141,H311,H321,H241,H331,H341,H351,H431,H441,H461,H261,H621,H631,H641,H651,H661,H671,H681,H691,H451,H371,H381,H111,H121,H211,H251,H361,H151,H221,H231,H411,H421,H531,male,age,school,mod1,asst1,mod2,asst2,sample
230311,23,2303,10,0,0,0,,0.0,0.0,,1.774972269890899,-0.5309182695673843,1.0232032534372497,-0.5299786483458875,-0.6721408488576013,1.3684053798202762,0.12599472818408686,-0.31633085924664106,0.5148736171580204,-0.12785648416672918,0.5180052377581691,1.913907613513791,1,1,1,1,1,1,1,1,1,-99,1,1,1,7,1,5,1,1,1,0,1,1,2,2,40,,1,1,2,4,2,1,0,0,7,2,1,0,1,0,1,0,1,5,2,2,2,1,4,2,2,2,2,2,2,2,3,3,2,2,2,2,2,4,0,0,1.751066440319402,6.813834246923299,-0.675209957798133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,1,,,10.0,10.0,10.0,10.0,10.0,5.0,10,10,1,5,1,1,0,1,1,0,0,1,6.813834246923299,1,4,4,7,7,1,1,7,,0.0,0.0,0,0,0.0,1,7,7,7,7,10.0,10.0,0.0,10.0,10.0,10.0,10,10,7,5,1,1,0,1,1,0,1,1,1,5,1,7,1,7,4,1,1,0.0,0.0,0,0,0.0,1,33,17,,,,,"Citizens"
230401,23,2304,3,1,0,0,,0.0,1.0,,0.2093943264067507,0.7558845611529463,0.9305280600837428,-0.11322150973682257,1.4199864259435406,0.5973388415670123,0.12599472818408686,-0.656212226544479,-0.4904004886869203,0.3250768010135635,1.3497020330322005,1.3872422259109278,1,1,0,1,1,1,1,1,1,0,0,1,1,14,1,1,1,1,0,0,1,1,1,1,,,1,1,6,4,2,3,5,3,7,3,0,0,0,0,1,0,0,5,2,3,3,3,1,1,1,2,2,2,1,4,2,3,3,3,3,3,3,3,0,1,2.0480383592028577,7.7190215340639075,-0.34806885658436965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,4,,,10.0,10.0,10.0,2.0,10.0,10.0,5,5,4,5,1,1,0,1,1,0,0,0,7.7190215340639075,5,5,5,4,4,4,1,4,,5.0,0.0,0,0,9.0,1,7,7,7,1,5.0,7.0,5.0,7.0,8.0,5.0,10,9,7,5,1,1,0,1,0,,,1,5,5,1,7,1,4,1,1,0,0.0,0.0,0,0,5.0,0,52,24,,,,,"Citizens"
230402,23,2304,12,1,1,1,,0.0,0.0,1,1.774972269890899,1.2898730680425212,0.8343483348869847,0.14011590020923229,0.15955594641643012,1.142841075260527,0.12599472818408686,0.5518374185029695,-0.3466382910778919,-0.290298472515385,2.015059469251426,1.9433557062708493,1,-99,1,1,1,1,0,1,1,0,0,0,1,13,0,,1,1,0,0,1,1,2,2,,,1,2,6,4,2,3,5,2,7,3,0,1,0,0,0,0,0,0,3,2,3,1,2,2,1,3,2,2,2,3,3,4,4,3,2,2,2,4,1,1,1.3602834785962554,7.488298915987277,-0.0832412030942361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,1,,,6.0,10.0,10.0,5.0,5.0,10.0,5,5,2,5,1,1,0,1,1,0,1,0,7.488298915987277,5,5,5,7,7,1,1,7,,5.0,5.0,0,5,5.0,0,7,7,7,7,10.0,9.0,10.0,7.0,5.0,2.0,10,10,1,5,1,1,1,1,1,1,,0,3,3,4,7,1,7,1,1,9,1.0,0.0,0,0,9.0,1,19,23,,,,,"Citizens"
230404,23,2304,15,1,0,0,,0.0,1.0,,0.2093943264067507,-0.656212226544479,0.26892066180330954,-0.3142825918264018,0.7546289897243154,-0.9767073264358541,0.7312536409014668,0.5678419749162569,-2.1054989811188367,0.3513551033352791,-1.5955011773320085,0.3069071086343162,1,-99,-99,1,1,-99,-99,0,1,0,-99,1,1,7,1,3,1,1,0,0,1,1,5,1,,,1,3,7,4,2,1,5,2,7,4,0,0,1,,1,0,0,5,4,3,3,3,1,1,1,2,3,2,2,4,2,2,3,4,3,3,4,4,1,1,0.04484241057448084,6.963254508080845,1.007922888262432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,4,,,5.0,5.0,5.0,5.0,6.0,5.0,5,5,1,5,0,0,0,0,,,,0,6.963254508080845,5,5,5,4,4,4,1,7,,0.0,0.0,0,0,5.0,0,1,1,7,2,2.0,2.0,2.0,2.0,4.0,6.0,2,4,1,1,1,1,0,0,,,,0,5,1,1,5,5,7,1,1,6,4.0,8.0,4,6,4.0,0,40,17,,,,,"Citizens"
230405,23,2304,21,1,0,1,,1.0,0.0,2,0.2927939246294147,1.679612730942483,1.103480226227303,0.6831228912476748,0.7546289897243154,0.3958709624424453,0.12599472818408686,-0.7486692931082924,0.31562434156838937,0.25480399293106903,-0.6721408488576013,1.4062487776173354,1,-99,1,1,1,1,1,0,1,0,1,1,1,14,1,4,1,1,0,0,1,0,5,1,,,1,,3,4,2,1,1,1,7,7,0,0,0,1,1,0,0,5,3,2,2,4,2,2,2,3,2,2,3,2,3,4,3,1,4,3,2,4,1,1,1.3677669216602601,6.7597498486445335,0.6052666857469261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,4,,,10.0,10.0,10.0,5.0,10.0,10.0,6,5,4,5,1,1,0,1,0,,,0,6.7597498486445335,5,5,5,1,7,7,4,4,,5.0,0.0,5,5,5.0,1,7,1,7,1,5.0,5.0,10.0,5.0,10.0,10.0,10,10,7,1,1,1,0,1,1,1,,0,1,5,5,7,1,7,1,1,0,0.0,0.0,5,0,0.0,1,20,24,,,,,"Citizens"
230406,23,2304,6,1,1,1,,0.0,0.0,1,0.2093943264067507,-0.2999124140400004,1.3917338364665695,0.8479972308426211,0.15955594641643012,-0.33742527397626776,0.12599472818408686,0.6050446025082539,-0.8656092749770229,0.2441184884350018,-0.17312277169318246,1.0454407380904907,-99,-99,-99,1,-99,-99,1,1,1,0,-99,1,1,7,1,4,1,1,0,0,1,0,2,1,,,1,,7,4,2,1,6,0,7,5,0,0,,0,,0,0,5,3,3,2,2,2,2,2,2,2,2,3,3,2,2,3,3,2,4,3,3,1,0,-0.3719825277458707,7.267852344917592,-0.12596140440888143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,1,,,10.0,10.0,5.0,10.0,10.0,10.0,10,6,4,3,1,0,0,0,,,,0,7.267852344917592,4,5,5,4,4,7,4,4,,0.0,0.0,7,5,5.0,1,7,1,7,1,3.0,2.0,6.0,3.0,1.0,6.0,1,1,7,1,1,1,1,0,,,,0,1,5,5,7,1,7,1,1,9,5.0,5.0,6,5,3.0,1,19,17,,,,,"Citizens"
230407,23,2304,6,1,0,0,,0.0,1.0,,1.774972269890899,0.4787928612707457,0.4145277235263895,0.4714435802988166,0.15955594641643012,0.3069071086343162,0.12599472818408686,-0.07236542405278,-0.17101282622609698,0.35150386749427565,-0.8714266878965323,-0.9655117974767766,1,-99,1,1,1,-99,1,-99,1,0,-99,1,1,7,0,,1,1,0,0,0,0,1,1,,,,,7,4,2,1,0,0,7,0,0,1,1,1,1,0,0,5,2,3,2,2,4,2,2,2,2,2,2,4,2,2,3,3,3,3,2,4,1,1,0.40284949334897435,6.377921460417958,0.7800345038889684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,1,,,8.0,6.0,10.0,5.0,5.0,5.0,5,5,7,4,1,1,0,0,,,,0,6.377921460417958,5,5,5,7,7,1,4,7,,5.0,0.0,4,1,5.0,1,4,4,7,7,10.0,10.0,10.0,10.0,10.0,10.0,10,10,7,5,0,0,0,0,,,,0,5,1,1,7,1,4,1,1,0,0.0,0.0,0,0,0.0,0,37,17,,,,,"Citizens"
230408,23,2304,6,1,1,1,,0.0,0.0,1,1.774972269890899,-1.2334365502758495,1.065090506224798,0.788952431103645,0.15955594641643012,0.5973388415670123,1.774972269890899,0.4384347530976176,0.5522277040325072,0.6563932602528904,0.8506839558677816,0.8191745334036283,1,1,1,1,1,1,0,1,1,0,1,1,1,7,1,1,1,1,0,0,1,0,2,1,,,1,,7,4,2,1,6,4,7,3,0,0,0,0,0,0,0,0,3,3,2,2,2,1,3,2,2,2,2,3,4,3,4,2,3,4,,4,1,1,2.0515204574517667,7.251547067188642,0.12603036271698595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,1,,,10.0,10.0,0.0,5.0,10.0,5.0,5,10,4,5,1,1,0,1,1,0,0,0,7.251547067188642,5,5,5,7,7,1,4,7,,0.0,0.0,5,5,5.0,1,7,7,1,7,8.0,10.0,7.0,9.0,10.0,7.0,6,8,7,5,1,0,0,0,,,,1,5,2,5,7,7,4,1,4,5,4.0,1.0,2,4,2.0,1,31,17,,,,,"Citizens"
230409,23,2304,9,1,0,1,,1.0,0.0,2,1.774972269890899,1.260057295649237,0.5654882318051512,0.15044278540469658,0.15955594641643012,0.5973388415670123,0.12599472818408686,0.38640428041934033,0.10869707877756452,0.027031159382273757,1.5160413920870068,0.7207498394928556,1,-99,1,1,1,-99,1,1,1,0,-99,1,1,13,1,4,1,1,1,0,1,0,5,1,7,,1,,6,4,2,1,5,0,7,3,0,0,0,0,0,0,0,0,1,1,1,1,4,1,1,4,2,4,4,1,4,4,3,4,3,3,3,4,1,1,0.7090604194156422,7.681734169562007,0.27089075816708985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,1,,,5.0,5.0,5.0,10.0,10.0,5.0,10,10,4,5,1,1,0,1,1,0,0,0,7.681734169562007,5,5,5,7,7,7,4,4,,0.0,5.0,0,0,5.0,1,7,7,7,7,2.0,8.0,0.0,6.0,10.0,2.0,3,5,7,5,1,0,0,1,1,0,1,0,3,4,4,7,1,1,1,7,8,3.0,8.0,1,2,6.0,0,19,23,,,,,"Citizens"
230410,23,2304,12,1,1,1,,0.0,0.0,2,1.774972269890899,1.4110435594299597,0.5502973942052458,0.018913822666739084,0.15955594641643012,0.5973388415670123,0.12599472818408686,0.3861874214618243,0.7933904596679119,-0.41013856043063623,2.015059469251426,1.9433557062708493,1,-99,1,1,1,-99,0,1,1,0,1,1,1,13,1,4,1,1,1,0,1,0,5,1,6,,1,,7,4,2,3,7,7,7,3,0,0,0,0,0,0,0,5,1,1,1,1,1,3,1,3,3,3,3,2,4,3,2,1,2,2,2,4,1,1,1.02028630148916,7.763614139760431,-0.9278412825959829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,1,,,5.0,10.0,6.0,10.0,5.0,5.0,5,10,4,5,1,1,0,1,1,0,0,0,7.763614139760431,5,5,5,7,7,7,4,4,,5.0,1.0,0,0,5.0,0,7,7,7,7,9.0,10.0,10.0,10.0,6.0,9.0,10,10,1,5,1,1,1,1,1,1,,0,2,5,5,7,1,7,1,1,9,0.0,0.0,0,0,9.0,0,20,23,,,,,"Citizens"
