HHID,DistrictID,VillageID,weight,z,zdelib,zinfo,zelite,zoinfo,zspill,tinfo,H100,H200,H300,H400,H500,H600,H101,H201,H301,H401,H501,H601,X1010,X1020,X1030,X1040,X1050,X1060,X1070,X1080,X1090,X1100,X1110,X1120,X1130,X1140,X2010,X2020,X2030,X2040,X2050,X2060,X2070,X2080,X2090,X2100,X2110,X2120,X2130,X2140,X2150,X2160,X2170,X2180,X2190,X2200,X2210,X2220,X2230,X3010,X3020,X3030,X3040,X3050,X3060,X3070,X3080,X3090,X3100,X3110,X3120,X3130,X3140,X3150,X3160,X3170,X3180,X3190,X3200,X3210,X3220,X3230,X3240,X3250,X3260,X3270,X3280,X3290,X1,X2,X3,Xcitizen0,Xempsector0,X1011,X1021,X1031,X1041,X1051,X1061,X1071,X1081,X1091,X1101,X1111,X1121,X1131,X1141,X2011,X2021,X2031,X2041,X2051,X2061,X2071,X2081,X2091,X2101,X2111,X2121,X2131,X2141,X2151,X2161,X2171,X2181,X2191,X2201,X2211,X2221,X2231,X3011,X3021,X3031,X3041,X3051,X3061,X3071,X3081,X3091,X3101,X3111,X3121,X3131,X3141,X3151,X3161,X3171,X3181,X3191,X3201,X3211,X3221,X3231,X3241,X3251,X3261,X3271,X3281,X3291,Xcitizen1,Xempsector1,H610,H510,H520,H130,H140,H310,H320,H240,H330,H340,H350,H430,H440,H460,H260,H620,H630,H640,H650,H660,H670,H680,H690,consumption,H450,H370,H380,H110,H120,H210,H250,H360,H150,H220,H230,H410,H420,H530,H611,H511,H521,H131,H141,H311,H321,H241,H331,H341,H351,H431,H441,H461,H261,H621,H631,H641,H651,H661,H671,H681,H691,H451,H371,H381,H111,H121,H211,H251,H361,H151,H221,H231,H411,H421,H531,male,age,school,mod1,asst1,mod2,asst2,sample
110101,11,1101,17,0,0,0,,0.0,0.0,,-1.356183617077397,-0.6602047545358052,-0.5705417679535816,-0.290298472515385,-0.6721408488576013,0.6048025275397307,-1.356183617077397,0.0798978541411594,-0.05100691139363993,0.45847655607242616,0.5882896306695091,0.1752476057993412,-99,-99,1,1,1,-99,1,-99,-99,-99,1,1,0,1,1,3,1,1,0,0,1,0,4,3,,,2,,2,4,2,3,7,0,7,5,0,0,0,0,0,0,0,2,,3,2,2,,2,2,,3,3,2,2,3,2,4,4,4,4,4,4,0,0,-0.19406809530013902,7.7888682255310195,0.4297661917688696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,1,,,3.0,6.0,7.0,6.0,8.0,2.0,10,10,1,2,1,1,0,1,1,0,0,0,7.7888682255310195,3,4,4,1,1,7,2,1,,0.0,0.0,0,0,0.0,1,7,4,4,6,5.0,2.0,3.0,5.0,7.0,10.0,10,5,6,2,1,0,0,1,1,0,0,0,5,5,5,1,1,4,1,1,9,5.0,5.0,4,0,4.0,0,38,11,,,,,"Citizens"
110103,11,1101,3,0,0,0,,0.0,0.0,,-1.356183617077397,1.6298625000225528,-2.524298021568428,-0.3219123876896107,-0.4737831677549729,0.6601396727974058,0.12599472818408686,-0.23464872600093747,-0.7475586135699981,0.2988922823990927,-0.6721408488576013,1.9433557062708493,1,-99,0,1,0,-99,1,1,-99,-99,-99,1,1,7,1,3,1,1,0,0,1,0,1,1,,,1,,2,4,2,3,3,0,7,5,0,,0,1,1,0,0,8,3,3,3,3,2,4,4,2,2,2,2,2,2,2,2,2,3,3,2,4,0,1,0.09335150880554124,7.907547815871549,0.2890999992995689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,2,,,0.0,1.0,6.0,0.0,0.0,2.0,8,9,3,5,1,0,1,1,1,0,0,0,7.907547815871549,1,2,2,1,1,1,3,1,,8.0,5.0,2,0,0.0,0,7,1,7,1,9.0,5.0,8.0,7.0,10.0,9.0,8,10,7,5,1,1,1,1,1,1,,0,5,1,1,7,1,1,1,1,0,2.0,1.0,0,0,0.0,0,28,17,,,,,"Citizens"
110104,11,1101,7,0,0,0,,0.0,0.0,,0.40082431846855554,0.06513214955367903,0.3229410396187309,0.13821635240178579,-0.0770678055497161,0.6048025275397307,0.40082431846855554,-0.30533545993096306,-0.4269179059718264,0.6039973714813583,-0.6721408488576013,1.3684053798202762,-99,-99,-99,1,0,-99,1,0,0,0,1,1,1,4,1,3,1,1,0,0,1,0,1,2,,,1,,2,4,2,1,3,7,7,4,0,0,0,0,0,0,0,3,1,2,1,1,1,2,1,2,2,3,2,2,3,2,4,4,2,4,4,4,1,0,0.3621656867325004,7.754776454919583,-0.5815203109483599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,4,,,9.0,7.0,10.0,7.0,5.0,8.0,10,9,6,3,1,1,0,1,1,0,0,0,7.754776454919583,4,5,5,7,2,5,2,1,,0.0,2.0,0,0,0.0,1,7,1,7,7,4.0,4.0,4.0,5.0,8.0,4.0,5,5,5,2,1,1,0,1,1,0,0,1,4,4,5,7,2,1,2,1,5,5.0,4.0,5,5,0.0,0,38,14,,,,,"Citizens"
110105,11,1101,21,0,0,0,,0.0,0.0,,0.12599472818408686,-0.8316816411674233,-2.286349945520555,-0.34291005761056803,-0.6721408488576013,0.6048025275397307,0.12599472818408686,-0.27597950051442627,-0.0614937253975701,0.37922392119094434,0.7546289897243154,0.1752476057993412,1,-99,0,1,1,-99,1,-99,1,0,0,1,1,14,1,1,1,1,0,0,1,0,5,4,,,2,,2,4,2,4,6,1,7,7,0,0,0,0,0,0,0,2,4,1,,3,3,1,1,2,2,2,2,2,2,2,4,4,4,4,4,3,0,0,0.7105932771735832,8.208206941353914,-0.2524546969342953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,1,,,0.0,3.0,2.0,0.0,0.0,10.0,8,10,1,4,1,1,0,1,1,0,0,0,8.208206941353914,3,1,1,7,1,7,1,1,,0.0,0.0,0,0,0.0,1,7,4,7,1,6.0,5.0,5.0,5.0,5.0,5.0,5,5,1,1,1,0,0,1,1,0,0,0,5,5,3,7,1,2,1,7,5,5.0,5.0,4,5,5.0,0,23,24,,,,,"Citizens"
110106,11,1101,10,0,0,0,,0.0,0.0,,0.12599472818408686,0.4627655833150998,0.11512592615663934,-0.3336064650110766,-0.505801489802795,1.0896945945377954,1.774972269890899,-0.12356279670049362,-0.07252199525049632,0.692993245271311,1.11932602988175,1.3609416938475578,1,-99,1,1,1,1,1,-99,1,0,1,1,1,7,0,,1,1,1,0,1,0,3,2,9,,2,,7,4,2,1,5,3,7,7,0,,0,0,0,0,0,5,3,3,,2,2,4,4,,2,2,2,2,2,2,3,3,4,4,3,3,0,1,1.0646181048542585,7.582555576364944,0.2704333704127284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,1,,,5.0,10.0,8.0,3.0,10.0,6.0,10,10,1,5,1,1,1,1,1,0,0,0,7.582555576364944,2,5,4,7,1,7,3,1,,0.0,0.0,1,0,1.0,0,7,5,4,4,10.0,4.0,6.0,10.0,4.0,10.0,10,9,1,3,1,1,0,1,1,0,0,1,5,4,3,7,7,4,2,1,6,5.0,0.0,5,5,6.0,0,33,17,,,,,"Citizens"
110107,11,1101,7,0,0,0,,0.0,0.0,,0.12599472818408686,1.0998755390893202,-0.7719419427479873,-0.3336064650110766,-0.6721408488576013,1.0896945945377954,1.774972269890899,-0.9970358591912523,-0.39417257916010867,0.5086159907539733,1.1833626739773941,1.142841075260527,-99,-99,1,1,1,-99,1,-99,1,-99,1,0,1,13,1,3,1,1,0,0,1,0,1,1,,,1,,9,4,2,5,2,0,7,3,0,,,,1,0,0,9,,3,3,4,4,4,4,1,2,3,2,2,2,1,3,4,3,3,2,4,1,1,0.10600792114265752,7.693856234767281,1.2961509057562464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,1,,,0.0,9.0,9.0,10.0,3.0,5.0,10,10,1,5,1,1,1,1,1,0,0,0,7.693856234767281,2,4,2,7,1,6,2,1,,5.0,0.0,1,0,0.0,0,7,7,7,1,5.0,6.0,5.0,5.0,10.0,5.0,10,6,7,1,1,1,0,1,1,0,1,0,4,4,3,7,7,4,1,1,5,0.0,4.0,5,0,4.0,1,24,23,,,,,"Citizens"
110108,11,1101,14,0,0,0,,0.0,0.0,,0.12599472818408686,-0.1976593810298748,-1.0902634125025132,-0.2593854469046867,-1.0707125269354634,1.8532974468183412,0.12599472818408686,-0.1976593810298748,-0.3403332185569489,-0.1563265626077319,-0.33946213074798876,0.366050668442044,1,-99,1,1,1,-99,1,-99,1,-99,-99,1,1,13,1,3,1,1,1,0,1,0,4,2,17,,1,,2,4,2,3,7,7,7,7,0,0,0,,0,1,0,4,2,2,2,3,3,2,2,2,2,2,2,2,2,2,4,4,4,4,,3,0,1,0.09925893372031296,8.319731812705763,0.1397830775022058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7,,,0.0,10.0,5.0,0.0,2.0,4.0,5,10,7,5,1,1,1,1,1,0,0,1,8.319731812705763,1,4,4,7,1,7,1,1,,0.0,0.0,0,0,0.0,1,7,1,1,1,5.0,10.0,5.0,6.0,6.0,10.0,10,6,1,5,0,0,1,1,1,0,,0,5,1,3,7,1,7,1,4,5,0.0,0.0,0,0,2.0,0,21,23,,,,,"Citizens"
110109,11,1101,7,0,0,0,,0.0,0.0,,0.12599472818408686,-0.5479674625248941,-1.577277344913623,-0.15428355064744148,1.0170233149225878,1.0896945945377954,0.2927939246294147,0.029722396495309857,-0.6589679455888515,0.8578781807896624,0.7546289897243154,0.6048025275397307,1,-99,1,1,1,1,1,-99,1,1,1,1,1,9,1,3,1,1,0,0,1,0,2,3,,,2,,2,4,2,3,6,7,7,7,0,0,0,0,0,0,0,2,1,3,1,1,4,1,3,2,,2,2,2,2,3,4,4,4,4,4,4,1,0,1.067684676163639,8.186626481248304,0.05303159399217717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,7,,,0.0,0.0,2.0,0.0,1.0,4.0,10,9,7,5,1,1,1,1,1,0,0,0,8.186626481248304,1,5,4,7,1,7,1,1,,0.0,0.0,0,0,3.0,1,7,4,7,4,4.0,5.0,5.0,5.0,3.0,6.0,5,5,7,1,1,1,0,1,1,0,0,0,5,3,5,1,7,4,1,2,4,5.0,5.0,5,5,5.0,1,37,19,,,,,"Citizens"
110110,11,1101,7,0,0,0,,0.0,0.0,,0.12599472818408686,-0.13106547817738456,-0.241309536036806,-0.5825902334410704,-0.6721408488576013,0.6601396727974058,-1.356183617077397,1.0328238913691603,1.1850928859533238,0.006357973607165591,-0.17312277169318246,0.8888282309594769,1,-99,1,1,1,-99,1,-99,1,0,1,1,1,7,1,1,1,1,0,0,1,0,3,2,,,3,,2,4,2,5,7,4,7,3,0,0,0,0,0,0,0,5,,3,3,3,2,2,2,2,2,2,2,2,,,4,4,4,4,4,3,0,1,0.7172119179187895,8.045940295967302,0.408450280245661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,1,,,5.0,3.0,8.0,8.0,10.0,5.0,8,10,1,4,1,0,1,1,1,0,0,0,8.045940295967302,1,4,4,7,1,7,1,1,,0.0,0.0,0,0,0.0,-99,7,1,7,7,10.0,10.0,10.0,8.0,9.0,8.0,8,8,7,4,1,1,1,1,1,0,1,0,3,5,4,1,1,7,7,7,1,0.0,0.0,0,0,3.0,1,43,17,,,,,"Citizens"
110111,11,1101,7,0,0,0,,0.0,0.0,,0.12599472818408686,-1.5435534331258047,-1.324398772068648,-0.44142305954819927,0.5180052377581691,0.6601396727974058,0.12599472818408686,-0.9979957115607436,-0.17416385955842714,0.00623669967404476,1.6823807511418134,1.9692447587714659,1,1,1,1,1,1,1,0,1,-99,1,1,1,11,1,3,1,1,0,0,1,0,2,3,,,1,,7,4,2,3,7,3,7,4,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,4,3,3,3,3,3,0,1,1.7480043310587356,7.859467348142317,-0.061709194946670834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,7,,,0.0,5.0,0.0,5.0,2.0,0.0,5,10,2,5,1,0,1,1,1,0,0,0,7.859467348142317,1,4,4,7,1,1,2,1,,0.0,0.0,2,0,0.0,1,7,7,7,4,4.0,9.0,6.0,8.0,6.0,8.0,9,7,7,5,1,0,1,1,1,0,1,1,3,4,3,7,1,1,1,1,0,0.0,0.0,0,0,7.0,0,31,17,,,,,"Citizens"
110202,11,1102,5,0,0,0,,0.0,0.0,,0.2093943264067507,0.6244465035004056,0.06360111440639592,-0.3289175662563083,-0.6721408488576013,-0.2493692259387575,0.12599472818408686,-0.748352131064567,-0.28761792594389374,0.4424991845689104,1.11932602988175,-0.3262297450171903,1,1,1,1,1,-99,1,-99,1,-99,1,0,1,7,1,3,1,1,0,0,1,0,2,1,,,1,,7,4,3,3,1,0,7,0,1,0,1,0,0,0,0,6,3,1,2,2,1,1,1,2,3,2,2,2,2,2,4,3,3,4,4,4,0,0,1.093183941734589,7.418049088621289,-0.381797132901012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,1,,,5.0,10.0,8.0,8.0,9.0,10.0,10,10,4,5,0,0,1,0,,,,0,7.418049088621289,1,3,3,4,4,4,7,1,,0.0,0.0,0,0,0.0,1,7,5,4,4,5.0,6.0,3.0,5.0,3.0,6.0,6,5,4,2,1,0,0,0,,,,0,3,5,5,7,1,4,1,1,5,0.0,5.0,6,4,6.0,1,43,17,,,,,"Citizens"
110203,11,1102,24,0,0,0,,0.0,0.0,,-1.356183617077397,-1.2005996598625683,0.09179420939119995,5.515370353474573E-4,-0.17312277169318246,-0.25840411514643474,-1.356183617077397,-1.665774984137501,0.45875903104043814,-0.12785648416672918,-0.6721408488576013,0.3958709624424453,1,-99,-99,1,-99,-99,-99,0,1,0,1,0,1,7,1,3,1,1,0,0,0,0,6,1,,,,,7,4,2,3,0,0,7,0,0,,,1,,1,1,10,2,2,2,1,,1,2,2,2,2,2,2,3,3,,,,,,4,,1,-0.07525379608431697,6.69463508031342,0.2734182593777445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,1,,,5.0,10.0,10.0,9.0,5.0,5.0,9,10,1,1,0,0,0,1,1,0,0,0,6.69463508031342,5,5,4,1,1,1,4,1,,0.0,0.0,0,1,3.0,0,7,1,7,7,10.0,10.0,10.0,10.0,10.0,9.0,10,10,7,1,1,1,0,1,0,,,0,1,5,1,1,1,1,1,1,0,0.0,0.0,0,0,0.0,1,25,17,,,,,"Citizens"
110204,11,1102,13,0,0,0,,0.0,0.0,,0.12599472818408686,1.1647382589975062,-1.7358407040863066,-0.08209826088917888,0.15955594641643012,1.082230908565077,-0.6150944444466552,0.7837726475419923,-0.22195546583691722,0.7388819988333833,0.5882896306695091,1.6423111281874632,1,-99,1,1,1,-99,1,0,1,-99,-99,1,1,13,1,3,1,1,0,0,1,0,6,5,,,1,,7,4,2,3,7,6,7,3,0,0,0,0,1,0,1,0,2,1,2,2,1,2,4,,2,3,2,2,3,3,2,4,2,2,2,4,0,1,0.40240775052631433,7.989220750536617,-0.5123645633774121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,1,,,0.0,0.0,7.0,4.0,3.0,4.0,7,3,1,5,1,1,1,1,1,0,0,0,7.989220750536617,5,2,4,7,1,7,7,1,,0.0,1.0,0,3,5.0,1,7,4,5,4,5.0,5.0,6.0,5.0,5.0,6.0,10,10,7,2,1,1,0,1,1,0,,1,5,5,5,4,1,4,2,1,6,5.0,6.0,0,5,4.0,0,27,23,,,,,"Citizens"
110205,11,1102,16,0,0,0,,0.0,0.0,,1.774972269890899,0.7834740217812226,-0.7929591896497827,0.1261980615224168,-0.505801489802795,0.6526759868246874,0.2927939246294147,0.3861874214618243,0.020227744748489606,-0.899351209410256,-1.0707125269354634,1.627733142258591,1,-99,1,1,0,-99,1,0,1,0,1,1,1,11,1,3,1,1,1,0,1,0,5,3,5,,1,,2,4,2,3,5,4,7,3,1,0,,1,,0,0,0,1,2,1,1,,2,2,2,2,1,2,2,3,3,4,4,2,2,4,4,0,0,1.0160588022683312,7.753814953719259,-0.726526705660445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,1,,,5.0,8.0,8.0,8.0,3.0,8.0,8,8,7,5,1,0,1,1,1,0,0,0,7.753814953719259,4,2,2,7,7,7,4,2,,1.0,0.0,0,0,1.0,0,1,7,1,7,5.0,5.0,10.0,5.0,5.0,6.0,5,1,1,5,1,1,1,1,1,0,1,0,1,5,5,1,7,7,1,4,0,0.0,0.0,0,0,0.0,1,30,17,,,,,"Citizens"
110206,11,1102,5,0,0,0,,0.0,0.0,,-1.356183617077397,-0.1184512684075969,0.22536127187119745,0.3529346686069173,0.5180052377581691,1.3609416938475578,-1.356183617077397,0.7152149353817521,0.2480949341738585,-0.23853079337917427,-0.6721408488576013,1.3609416938475578,1,1,1,1,1,1,1,1,1,-99,1,1,1,7,1,4,1,1,0,0,1,0,2,2,,,1,,2,4,2,3,3,0,7,4,0,0,1,0,0,0,1,5,3,4,1,3,4,3,3,2,3,,3,2,4,3,2,,2,2,2,2,0,0,1.751066440319402,7.753247973912332,-0.07728746469481088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,,,5.0,10.0,5.0,8.0,10.0,0.0,10,9,7,2,1,1,0,1,1,0,0,1,7.753247973912332,2,5,5,1,1,7,7,1,,0.0,0.0,0,5,0.0,0,7,1,4,5,5.0,3.0,5.0,10.0,10.0,10.0,7,5,1,4,1,1,0,1,1,0,0,1,2,5,3,1,1,4,1,2,5,4.0,5.0,5,0,0.0,0,30,17,,,,,"Citizens"
110207,11,1102,5,0,0,0,,0.0,0.0,,-1.356183617077397,0.8513627457367567,0.6046678128071176,0.089928800806756,0.9912527416904614,0.46701872063088484,0.12599472818408686,0.3413071523727561,1.055413491128993,0.37986488752513436,1.3497020330322005,0.16778391982662294,1,-99,1,1,1,1,0,1,1,0,1,1,1,11,1,1,1,1,0,0,1,0,1,2,,,1,,7,4,2,3,2,0,7,3,1,1,1,1,1,0,0,5,3,1,1,1,3,1,1,3,2,2,3,1,4,2,3,3,2,4,3,4,0,0,1.3676924884246293,7.6638434569374745,-0.00411934952446076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,1,,,8.0,9.0,10.0,8.0,10.0,8.0,10,10,7,5,1,0,1,1,0,,,0,7.6638434569374745,,5,4,1,1,7,4,1,,0.0,0.0,0,0,10.0,0,7,7,4,4,10.0,5.0,10.0,10.0,10.0,5.0,5,9,4,3,1,0,0,1,1,0,0,0,5,5,5,7,1,5,1,7,1,5.0,0.0,0,5,5.0,1,38,21,,,,,"Citizens"
110208,11,1102,11,0,0,0,,0.0,0.0,,1.774972269890899,-0.13426241699885513,-1.0304993553501645,0.2648878825028925,-0.8714266878965323,0.5973388415670123,-0.25686525593952264,0.4438655605845646,0.7934245863693078,0.28222140245160565,1.1833626739773941,1.034245209131413,1,-99,-99,1,1,-99,-99,1,-99,-99,1,1,1,7,0,,1,1,0,0,1,0,3,2,,,1,,2,4,2,3,3,0,7,3,1,1,1,1,1,0,0,5,,2,2,2,,2,2,,2,2,2,2,2,2,2,4,1,2,2,4,1,0,-0.2456650172491715,7.641215448106879,-0.3736235602508081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,,,0.0,0.0,5.0,8.0,5.0,10.0,10,10,7,3,1,1,0,1,1,0,0,0,7.641215448106879,3,3,3,7,7,7,4,1,,1.0,0.0,2,0,0.0,0,7,7,3,6,6.0,5.0,6.0,5.0,10.0,9.0,9,6,1,5,1,1,1,0,,,,0,5,5,5,1,5,4,2,7,5,5.0,0.0,0,6,4.0,0,52,17,,,,,"Citizens"
110210,11,1102,8,0,0,0,,0.0,0.0,,0.12599472818408686,0.3861874214618243,-1.2435121471471977,-0.008016396251477974,-0.6721408488576013,-0.33742527397626776,0.12599472818408686,-1.5818425140524428,-1.6641115343091584,-0.6088960259886619,0.6843445968129753,0.16778391982662294,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,2,1,1,0,0,1,0,3,2,,,1,,7,4,2,3,4,0,7,7,0,0,0,0,0,0,0,5,3,3,3,3,4,1,1,4,4,4,4,4,4,4,2,2,2,2,2,3,0,0,2.057723571257444,7.914104151867354,0.5396258754300236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,1,,,0.0,10.0,10.0,0.0,8.0,0.0,10,10,7,5,1,0,0,0,,,,0,7.914104151867354,2,5,1,7,1,7,1,1,,0.0,0.0,0,0,0.0,0,7,7,7,7,0.0,10.0,1.0,7.0,4.0,2.0,7,10,1,5,1,0,0,1,1,0,0,0,1,1,1,7,1,1,1,1,0,0.0,0.0,0,0,1.0,1,51,17,,,,,"Citizens"
110211,11,1102,5,0,0,0,,0.0,0.0,,-1.356183617077397,0.6194146248604376,0.7397011310901678,0.2648878825028925,0.08927155350509017,-0.33742527397626776,-1.356183617077397,0.8513627457367567,-0.1292790409898148,-0.233200928290216,-0.6721408488576013,1.2056419064909203,1,-99,1,1,1,-99,1,-99,-99,0,1,-99,1,7,1,3,1,1,0,0,0,0,2,2,,,,,7,4,2,3,5,0,7,0,1,0,0,0,0,0,0,0,2,1,2,1,,2,1,2,2,,3,,2,2,4,4,2,3,3,4,0,0,-0.013668042374285736,7.667779360220881,-1.2007280369908802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,4,,,8.0,,10.0,10.0,10.0,10.0,10,10,7,3,1,0,0,0,,,,0,7.667779360220881,3,4,3,1,1,4,4,4,,0.0,4.0,2,0,1.0,1,7,1,7,7,5.0,10.0,10.0,10.0,4.0,1.0,7,9,7,5,1,0,1,1,1,0,1,0,1,5,1,1,1,7,4,7,5,0.0,0.0,0,0,0.0,0,35,17,,,,,"Citizens"
110212,11,1102,8,0,0,0,,0.0,0.0,,-1.356183617077397,0.46792633144432033,0.5804514501476616,0.273571980642572,0.15955594641643012,-0.15641393693805525,-1.356183617077397,-0.7815061835215739,-1.5243275584985891,-0.33830282454746113,-0.6721408488576013,1.4685030660322198,1,1,1,1,1,1,1,1,1,0,1,1,1,7,1,3,1,1,0,0,1,0,2,1,,,1,,7,4,2,3,3,0,7,0,1,0,0,0,0,1,1,8,1,1,1,3,,2,3,3,2,2,4,,3,4,3,4,2,2,4,4,0,0,2.054656999948064,7.420656737442897,0.3409576867071664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,1,,,10.0,10.0,9.0,7.0,8.0,8.0,10,9,7,5,1,0,0,1,0,,,0,7.420656737442897,2,5,4,1,1,7,1,1,,0.0,1.0,2,2,5.0,1,7,1,4,6,0.0,0.0,0.0,0.0,2.0,1.0,2,10,7,5,1,0,1,1,1,1,,0,1,5,5,1,1,7,1,1,0,0.0,0.0,0,0,0.0,1,39,17,,,,,"Citizens"
110301,11,1103,13,0,0,0,,0.0,0.0,,0.12599472818408686,0.733298564135373,-1.3494371464671626,0.15567679653977848,2.015059469251426,0.3958709624424453,-0.6150944444466552,0.9491240188223676,-0.4531436216422166,-0.33310842165383864,1.0170233149225878,1.4062487776173354,1,-99,1,1,1,1,1,0,-99,0,1,-96,1,18,1,1,1,1,0,0,1,1,4,2,,,1,2,2,4,4,3,4,4,7,7,0,0,1,0,0,0,0,6,2,2,3,1,2,2,2,3,2,2,3,2,2,2,2,3,2,2,2,3,1,0,0.6496831181152128,8.32467300527694,-0.9133574978422174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,,,0.0,0.0,10.0,0.0,2.0,10.0,8,8,4,4,1,1,0,1,0,,,0,8.32467300527694,4,4,4,7,1,7,4,1,,1.0,0.0,2,1,9.0,1,7,7,7,4,0.0,5.0,8.0,0.0,6.0,6.0,7,7,4,5,1,1,0,1,1,1,,0,1,5,5,4,1,7,4,4,2,2.0,0.0,1,1,3.0,0,20,28,,,,,"Citizens"
110302,11,1103,8,0,0,0,,0.0,0.0,,0.12599472818408686,-0.001051160158387848,0.0900554486866632,0.004175631008733017,-0.6721408488576013,0.38991282652082904,0.12599472818408686,0.6968729894302758,-0.15582807889205127,0.790857820093136,0.7546289897243154,0.5973388415670123,-99,-99,1,1,1,-99,1,-99,-99,-99,-99,1,0,0,1,3,1,1,1,0,1,1,1,2,7,,1,2,7,4,2,5,2,3,7,1,1,0,0,0,0,0,0,10,4,2,4,4,1,4,4,,,,,,,,2,2,2,2,,4,1,1,-0.5084305198699541,7.568234810149231,-0.05067395787939988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,1,,,7.0,9.0,9.0,8.0,8.0,5.0,10,9,4,4,1,0,1,0,,,,0,7.568234810149231,4,4,4,7,1,1,7,1,,0.0,0.0,0,0,0.0,0,7,4,6,7,5.0,10.0,6.0,5.0,10.0,5.0,5,5,6,2,1,1,0,1,1,0,0,0,5,4,3,7,1,4,4,1,0,5.0,4.0,5,5,5.0,1,46,0,,,,,"Citizens"
110303,11,1103,8,0,0,0,,0.0,0.0,,-1.356183617077397,-0.9399264051870081,0.6644410171880796,0.4727747565221686,0.15955594641643012,0.7832579193718492,1.774972269890899,0.16500061247318987,0.1452340189310008,0.3579368912121831,-0.505801489802795,0.6526759868246874,1,-99,1,1,-99,-99,-99,-99,-99,-99,1,-96,1,7,1,4,1,1,0,0,1,1,2,2,,,1,1,7,4,2,3,1,2,7,0,1,0,0,0,,0,0,8,2,2,3,3,1,4,4,,2,2,,,2,,2,3,3,2,2,4,0,1,-1.048309940530569,7.566276438549718,-0.4732808104585675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,1,,,7.0,9.0,5.0,9.0,10.0,9.0,10,9,7,4,1,1,0,1,1,0,,0,7.566276438549718,3,4,2,1,1,4,1,7,,0.0,0.0,0,5,5.0,0,7,1,4,1,5.0,4.0,5.0,10.0,10.0,9.0,8,9,5,2,1,0,1,1,1,0,0,0,3,3,5,7,7,1,3,1,0,5.0,5.0,6,0,1.0,0,31,17,,,,,"Citizens"
